Coaster,Park,City,State,Type,Design,Year_Opened,Top_Speed,Max_Height,Drop,Length,Duration,Inversions,Num_of_Inversions
California Screamin,Disneys California Adventure,Anaheim,California,Steel,Sit Down,2001,55,,108,6072,156,Y,1
Cheetah,Wild Adventures,Valdosta,Georgia,Wooden,Sit Down,2001,52,92,90,2680,,N,0
Deja Vu,Six Flags Great America,Gurnee,Illinois,Steel,Inverted,2001,66,192,177,1204,92,Y,3
Deja Vu,Six Flags Over Georgia,Austell,Georgia,Steel,Inverted,2001,66,192,177,1204,92,Y,3
HyperSonic XLC,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,2001,80,165,133,1560,,N,0
Nitro,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,2001,80,230,215,5394,140,N,0
Phantoms Revenge,Kennywood Park,West Mifflin,Pennsylvania,Steel,Sit Down,2001,82,160,228,3200,117,N,0
Talon,Dorney Park,Allentown,Pennsylvania,Steel,Inverted,2001,58,135,120,3110,,Y,4
Titan,Six Flags Over Texas,Arlington,Texas,Steel,Sit Down,2001,85,245,255,5312,210,N,0
Wildfire,Silver Dollar City,Branson,Missouri,Steel,Sit Down,2001,66,120,155,3073,136,Y,5
Big Bad John,Magic Springs and Crystal Falls,Hot Springs,Arkansas,Steel,Sit Down,2002,37,32,41,2349,180,N,0
New Mexico Rattler,Cliffs Amusement Park,Albuquerque,New Mexico,Wooden,Sit Down,2002,47,80,75,2750,75,N,0
Ricochet,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,2002,35,52,50,1340,180,N,0
Superman - Ultimate Flight,Six Flags Over Georgia,Austell,Georgia,Steel,Flying,2002,,115,100,2760,120,Y,2
Wicked Twister,Cedar Point,Sandusky,Ohio,Steel,Inverted,2002,72,215,206,,,N,0
X,Six Flags Magic Mountain,Valencia,California,Steel,4th Dimension,2002,76,175,215,3610,,Y,2
Batman: The Ride,Six Flags New Orleans,New Orleans,Louisiana,Steel,Inverted,2003,50,105,80,2693,120,Y,5
Rampage,VisionLand,Bessemer,Alabama,Wooden,Sit Down,2003,56,120,102,3500,,N,0
Scream!,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,2003,63,150,141,3985,180,Y,7
Steel Venom,Valleyfair!,Shakopee,Minnesota,Steel,Inverted,2003,68,185,175,630,,N,0
Superman - Ultimate Flight,Six Flags Great America,Gurnee,Illinois,Steel,Flying,2003,50,115,109,2798,180,Y,2
Superman - Ultimate Flight,Six Flags Great Adventure,Jackson,New Jersey,Steel,Flying,2003,60,115,100,2759,126,Y,2
Top Thrill Dragster,Cedar Point,Sandusky,Ohio,Steel,Sit Down,2003,120,420,400,2800,30,N,0
Zonga,Six Flags Marine World,Vallejo,California,Steel,Sit Down,2003,62,115,98,3675,,Y,4
Dominator,Kings Dominion,Doswell,Virginia,Steel,Sit Down,2008,65,157,148,4210,126,Y,5
Intimidator,Carowinds,Charlotte,North Carolina,Steel,Sit Down,2010,75,232,211,5316,213,N,0
Fury 325,Carowinds,Charlotte,North Carolina,Steel,Sit Down,2015,95,325,320,6602,205,N,0
Lightning Rod,Dollywood,Pigeon Forge,Tennessee,Wooden,Sit Down,2016,73,,165,3800,192,N,0
StormChaser,Kentucky Kingdom,Louisville,Kentucky,Steel,Sit Down,2016,52,100,,2744,100,Y,3
Superman: Krypton Coaster,Six Flags Fiesta Texas,San Antonio,Texas,Steel,Sit Down,2000,70,168,163,4025,155,Y,6
Joker,Six Flags Great Adventure,Jackson,New Jersey,Steel,Wing,2016,38,120,54,1019,,Y,6
